Country,GDP_Per_Capita,Male_Life_Expectancy
Iceland,38224,80.7
Switzerland,51302,80.5
Malta,28332,80.2
Israel,30159,80
Sweden,41763,79.9
Australia,41558,79.7
Italy,33870,79.6
Singapore,72296,79.6
Japan,34266,79.44
Netherlands,43148,79.4
Spain,31732,79.4
Norway,61896,79.1
New Zealand,31554,79.1
Canada,40384,78.94
United Kingdom,34800,78.9
Luxembourg,88848,78.5
Greece,27046,78.5
France,36248,78.4
Germany,40980,78.4
Ireland,42946,78.3
Austria,42888,78.3
Belgium,39840,77.9
Denmark,41831,77.8
Portugal,25828,77.6
Cyprus,31229,77.47
Lebanon,16437,77.46
Qatar,135050,77.45
Finland,38605,77.3
Costa Rica,12360,77.25
Cuba,18796,76.91
Slovenia,28156,76.8
Chile,20169,76.49
United States,49854,76.3
Maldives,11110,76.17
United Arab Emirates,56377,75.8
Bahrain,40083,75.64
Czech Republic,27047,74.8
Mexico,15749,74.58
Dominica,9837,74.5
Panama,15299,74.31
Oman,42439,74.25
Albania,9121,74.17
Croatia,20286,73.9
China,10041,73.78
Saudi Arabia,49230,73.51
Bosnia and Herzegovina,9235,73.46
Uruguay,17345,73.38
Kuwait,82475,73.31
Antigua and Barbuda,19368,73.16
Ecuador,9569,73.08
Tunisia,10343,72.9
Republic of Macedonia,11749,72.66
Barbados,15374,72.63
Poland,21748,72.6
Malaysia,21075,72.38
Slovakia,25128,72.3
Jordan,11292,72.01
Saint Lucia,10286,71.95
The Bahamas,22639,71.79
Peru,11049,71.57
Venezuela,16960,71.43
Estonia,23179,71.2
Hungary,22143,71.2
Turkey,17998,71.16
Nicaragua,4103,71.14
Armenia,6812,71.06
Romania,17113,71
Sri Lanka,8112,70.89
Honduras,4345,70.8
Thailand,12798,70.75
Bulgaria,15523,70.7
Jamaica,8485,70.57
Belize,8212,70.56
Georgia,6322,70.26
Saint Vincent and the Grenadines,10043,70.1
